user id [rec1, rec2, rec3, rec4, rec5]
50 ['169', '318', '483', '178', '64']
575 ['408', '64', '169', '251', '178']
133 ['483', '169', '50', '408', '178']
191 ['50', '318', '483', '408', '178']
103 ['408', '318', '483', '114', '603']
942 ['12', '64', '169', '178', '408']
352 ['408', '483', '178', '114', '169']
635 ['64', '318', '169', '483', '178']
857 ['483', '178', '169', '114', '408']
190 ['12', '318', '64', '178', '483']
744 ['408', '474', '169', '114', '318']
769 ['408', '178', '483', '318', '64']
283 ['127', '963', '483', '603', '114']
404 ['169', '483', '64', '408', '318']
446 ['408', '483', '12', '127', '318']
491 ['483', '169', '64', '178', '251']
895 ['408', '114', '169', '50', '178']
359 ['64', '318', '251', '483', '178']
444 ['408', '169', '114', '603', '657']
547 ['408', '178', '114', '474', '169']
131 ['64', '408', '318', '169', '178']
134 ['318', '178', '483', '64', '174']
440 ['483', '178', '64', '408', '169']
431 ['318', '313', '178', '483', '64']
362 ['64', '318', '603', '408', '178']
167 ['50', '127', '12', '173', '408']
915 ['50', '318', '64', '483', '408']
770 ['963', '483', '603', '12', '114']
473 ['483', '64', '408', '318', '963']
849 ['134', '127', '963', '79', '483']
258 ['50', '483', '172', '174', '318']
448 ['50', '483', '251', '603', '169']
251 ['318', '178', '169', '483', '408']
822 ['318', '483', '313', '178', '603']
247 ['318', '408', '169', '50', '483']
161 ['64', '318', '408', '127', '12']
746 ['64', '318', '178', '408', '169']
121 ['603', '169', '408', '657', '64']
32 ['169', '178', '318', '483', '64']
670 ['408', '318', '114', '603', '169']
176 ['408', '483', '64', '251', '178']
71 ['408', '483', '169', '178', '513']
772 ['134', '483', '603', '313', '114']
602 ['408', '318', '169', '64', '483']
462 ['134', '127', '483', '603', '12']
900 ['408', '169', '50', '114', '178']
124 ['408', '483', '169', '114', '178']
351 ['134', '181', '963', '79', '483']
415 ['408', '50', '12', '174', '169']
571 ['408', '64', '483', '178', '318']
808 ['127', '483', '12', '50', '603']
421 ['408', '178', '114', '64', '480']
410 ['408', '318', '483', '178', '603']
182 ['64', '12', '127', '480', '169']
53 ['408', '169', '483', '114', '603']
228 ['318', '114', '272', '178', '408']
412 ['64', '178', '603', '483', '515']
157 ['12', '408', '114', '318', '169']
797 ['318', '408', '178', '114', '64']
369 ['12', '408', '603', '127', '50']
677 ['178', '318', '408', '169', '483']
570 ['178', '408', '483', '127', '169']
183 ['408', '64', '169', '657', '251']
259 ['318', '408', '483', '251', '169']
45 ['408', '178', '64', '603', '474']
54 ['483', '408', '603', '178', '172']
66 ['169', '408', '50', '114', '483']
155 ['408', '483', '169', '50', '603']
638 ['174', '318', '64', '178', '483']
701 ['408', '657', '169', '483', '178']
285 ['12', '318', '483', '174', '114']
530 ['114', '408', '318', '169', '603']
564 ['408', '483', '169', '114', '12']
252 ['483', '318', '64', '408', '169']
687 ['483', '408', '64', '169', '178']
108 ['318', '114', '169', '12', '408']
441 ['408', '318', '114', '483', '169']
550 ['408', '483', '251', '318', '178']
366 ['963', '483', '603', '272', '12']
309 ['64', '318', '178', '313', '316']
68 ['408', '474', '114', '483', '169']
810 ['100', '134', '181', '127', '963']
513 ['483', '12', '50', '318', '64']
689 ['483', '408', '169', '114', '178']
9 ['127', '963', '12', '174', '318']
238 ['408', '318', '114', '169', '178']
928 ['127', '963', '483', '603', '272']
556 ['50', '483', '251', '313', '318']
623 ['318', '178', '169', '313', '50']
424 ['408', '318', '64', '483', '963']
240 ['408', '178', '483', '603', '114']
691 ['408', '483', '169', '64', '963']
403 ['64', '178', '169', '483', '480']
579 ['483', '408', '178', '515', '251']
583 ['408', '178', '64', '483', '169']
768 ['318', '408', '178', '483', '127']
735 ['408', '169', '474', '483', '178']
475 ['12', '64', '251', '98', '127']
287 ['483', '408', '963', '169', '923']
732 ['408', '313', '318', '114', '603']
34 ['963', '483', '603', '12', '50']
750 ['318', '483', '169', '114', '408']
260 ['64', '178', '318', '408', '483']
888 ['483', '408', '178', '963', '318']
794 ['483', '169', '408', '114', '318']
767 ['483', '50', '318', '169', '64']
74 ['318', '64', '408', '178', '98']
544 ['483', '408', '318', '251', '603']
734 ['408', '169', '251', '64', '178']
419 ['318', '313', '483', '127', '178']
432 ['318', '64', '12', '169', '178']
172 ['483', '169', '318', '178', '963']
169 ['408', '127', '313', '114', '169']
834 ['408', '114', '483', '603', '169']
852 ['318', '483', '178', '114', '963']
651 ['483', '50', '408', '172', '285']
589 ['408', '127', '187', '178', '483']
39 ['12', '169', '408', '483', '178']
150 ['483', '408', '178', '169', '318']
525 ['408', '318', '483', '114', '178']
245 ['318', '483', '64', '178', '408']
289 ['408', '483', '318', '114', '178']
723 ['64', '178', '483', '169', '408']
787 ['64', '483', '169', '963', '408']
668 ['408', '483', '174', '12', '64']
140 ['178', '64', '318', '169', '12']
812 ['169', '408', '12', '114', '483']
300 ['408', '64', '178', '318', '114']
266 ['408', '483', '169', '50', '64']
759 ['114', '408', '174', '178', '318']
338 ['483', '127', '285', '178', '657']
414 ['483', '318', '178', '408', '603']
581 ['408', '114', '178', '483', '318']
909 ['483', '318', '178', '408', '169']
584 ['483', '408', '169', '318', '178']
753 ['318', '178', '251', '603', '408']
636 ['483', '603', '12', '114', '318']
646 ['408', '318', '169', '114', '483']
132 ['408', '483', '318', '64', '178']
743 ['483', '318', '169', '64', '963']
341 ['408', '178', '64', '169', '114']
937 ['483', '64', '318', '48', '963']
98 ['114', '603', '408', '318', '178']
649 ['408', '169', '483', '12', '114']
902 ['408', '483', '603', '251', '114']
302 ['408', '169', '483', '318', '178']
122 ['483', '408', '169', '285', '50']
612 ['483', '408', '318', '114', '513']
33 ['408', '318', '64', '178', '114']
396 ['408', '483', '64', '169', '114']
127 ['408', '178', '169', '483', '64']
231 ['408', '114', '318', '169', '178']
652 ['318', '50', '483', '178', '408']
46 ['285', '408', '483', '318', '251']
111 ['408', '483', '127', '12', '178']
850 ['963', '483', '603', '114', '178']
740 ['408', '178', '483', '64', '169']
67 ['483', '50', '174', '318', '178']
792 ['408', '64', '127', '169', '178']
876 ['50', '318', '169', '483', '251']
578 ['318', '408', '169', '483', '127']
4 ['100', '134', '127', '963', '190']
55 ['318', '127', '603', '114', '178']
241 ['318', '483', '178', '603', '64']
657 ['408', '64', '178', '313', '318']
434 ['178', '408', '318', '483', '488']
879 ['318', '408', '64', '483', '169']
558 ['318', '408', '483', '169', '114']
390 ['178', '408', '318', '64', '114']
819 ['178', '408', '318', '515', '483']
555 ['408', '169', '474', '318', '64']
891 ['963', '483', '603', '318', '64']
166 ['64', '408', '178', '169', '483']
273 ['408', '483', '12', '318', '169']
799 ['318', '408', '64', '313', '963']
502 ['408', '483', '603', '318', '251']
832 ['64', '408', '178', '318', '169']
149 ['174', '64', '50', '318', '483']
304 ['408', '483', '169', '64', '178']
809 ['114', '169', '408', '963', '483']
439 ['408', '178', '483', '169', '114']
317 ['64', '408', '178', '483', '12']
29 ['483', '64', '178', '318', '169']
88 ['408', '483', '603', '178', '114']
656 ['408', '127', '169', '483', '12']
737 ['483', '408', '318', '50', '169']
192 ['318', '408', '483', '169', '114']
765 ['408', '483', '64', '178', '169']
777 ['318', '169', '408', '114', '64']
781 ['408', '127', '483', '114', '50']
926 ['169', '408', '318', '178', '483']
841 ['318', '408', '169', '483', '178']
688 ['100', '134', '181', '475', '176']
143 ['408', '318', '483', '114', '64']
93 ['318', '178', '408', '483', '313']
817 ['408', '483', '178', '127', '114']
212 ['318', '174', '50', '64', '483']
171 ['408', '483', '178', '64', '318']
783 ['408', '483', '318', '12', '169']
78 ['483', '178', '169', '408', '474']
516 ['318', '483', '178', '114', '408']
153 ['178', '169', '318', '408', '603']
917 ['408', '64', '483', '603', '251']
139 ['408', '483', '64', '318', '178']
47 ['50', '408', '169', '483', '603']
609 ['318', '483', '603', '98', '174']
818 ['408', '483', '64', '178', '169']
520 ['64', '408', '169', '178', '963']
17 ['408', '169', '114', '127', '12']
596 ['408', '483', '178', '318', '169']
